	group	names	scores	logfoldchanges	pvals	pvals_adj
10005	Stele	AT4G11190	16.056305	2.2055652	5.1641058238517664e-58	6.055305298604367e-56
10006	Stele	AT2G35120	16.013617	1.5774089	1.026650805546231e-57	1.1858582961376539e-55
10007	Stele	AT1G72150	15.941082	1.1086283	3.2861403465927427e-57	3.758340907726291e-55
10008	Stele	AT1G72230	15.924021	2.4780824	4.317164633774924e-57	4.913314279527079e-55
10009	Stele	AT3G04400	15.894248	1.5850796	6.945727399910714e-57	7.866290392376929e-55
10010	Stele	AT5G48930	15.795012	1.9248395	3.3672586511788904e-56	3.7766977828222364e-54
10011	Stele	AT3G51950	15.773776	2.8550103	4.714467394197797e-56	5.212180451956679e-54
10012	Stele	AT1G55210	15.756392	1.5836676	6.207740155094793e-56	6.798353923624331e-54
10013	Stele	AT5G57770	15.752689	4.868954	6.582129573709133e-56	7.174521235342955e-54
10014	Stele	AT5G03610	15.729858	3.3492057	9.44219919737193e-56	1.0243903680625425e-53
10015	Stele	AT1G27130	15.524068	3.102567	2.3844363456627102e-54	2.5394247081307864e-52
10016	Stele	AT3G61850	15.502033	3.7032387	3.3608454763717295e-54	3.562956594745317e-52
10017	Stele	AT5G14340	15.299657	3.1596434	7.686056722581461e-53	8.038161212980801e-51
10018	Stele	AT4G39200	15.143558	1.6299269	8.35681367834815e-52	8.62311747423151e-50
10019	Stele	AT5G15200	15.074886	1.7305982	2.3692485269494463e-51	2.412580835534443e-49
10020	Stele	AT1G67430	14.86779	1.4963329	5.334529412970562e-50	5.2702880587633e-48
10021	Stele	AT5G16600	14.792364	4.190933	1.640883362785914e-49	1.6074425752658466e-47
10022	Stele	AT5G12140	14.735126	1.1394411	3.834846390458973e-49	3.740908766692688e-47
10023	Stele	AT4G23100	14.59781	1.0184598	2.900151651047478e-48	2.8055342034320542e-46
10024	Stele	AT1G13670	14.554318	5.0388923	5.482968330972923e-48	5.26025106364456e-46
10025	Stele	AT2G32240	14.496377	1.2125968	1.277149949210234e-47	1.2152291135579507e-45
10026	Stele	AT1G52300	14.394039	1.8776557	5.640315651992132e-47	5.323219857410623e-45
10027	Stele	AT3G19370	14.331943	2.8494651	1.3819934355375474e-46	1.2937799029385178e-44
10028	Stele	AT4G11211	14.249259	4.6466413	4.530640675843371e-46	4.1741224036133155e-44
10029	Stele	AT3G11630	14.186764	3.0980206	1.1064783312813628e-45	1.007415977151349e-43
10030	Stele	AT1G77690	14.132428	4.404405	2.3973194987853558e-45	2.148979413254811e-43
10031	Stele	AT3G06700	14.08574	1.4479274	4.6476656557230677e-45	4.150186674189325e-43
10032	Stele	AT2G18800	14.0577755	6.4406276	6.902150022496861e-45	6.1397401177130126e-43
10033	Stele	AT3G59540	13.959387	1.477202	2.7579765961196177e-44	2.4072158884251564e-42
10034	Stele	AT2G36530	13.901404	0.9678194	6.211056887264918e-44	5.340818805615911e-42
10035	Stele	AT1G62380	13.879625	1.8023547	8.41824931732815e-44	7.185532882367929e-42
